company,year,roe,roa,cf_to_ni_ratio,roe_rank,roa_rank,cf_quality_rank,composite_score,composite_rank
AMZN,2017,10.9459,2.3098,6.0551,6,9,1,5.33,5
PCG,2017,8.5251,2.4407,3.6312,7,8,2,5.67,6
GOOG,2017,8.3028,6.4178,2.9293,8,6,3,5.67,6
PYPL,2017,11.223,4.4023,1.41,5,7,6,6.0,8
MCD,2017,-158.8832,15.3602,1.0691,9,2,8,6.33,9
AAPL,2018,55.5601,16.2775,1.3007,1,4,7,4.0,1
NVDA,2018,40.7844,27.1061,1.1493,2,1,9,4.0,1
INTC,2018,28.2352,16.4524,1.398,3,3,6,4.0,1
AMZN,2018,23.1303,6.1931,3.05,4,7,2,4.33,4
MSFT,2018,20.0331,6.4018,2.6482,5,6,4,5.0,5
GOOG,2018,17.3036,13.2032,1.5607,6,5,5,5.33,6
PYPL,2018,13.3693,4.7471,2.6641,7,8,3,6.0,7
BCS,2018,3.7191,0.2093,6.1004,8,9,1,6.0,7
MCD,2018,-94.6616,18.0557,1.176,9,2,8,6.33,9
AAPL,2019,61.0645,16.323,1.2558,1,2,7,3.33,1
NVDA,2019,44.3267,31.1541,0.9039,2,1,8,3.67,2
INTC,2019,27.1573,15.4171,1.5747,4,3,4,3.67,2
MSFT,2019,38.3465,13.6937,1.3299,3,4,6,4.33,4
AMZN,2019,18.6723,5.1446,3.3236,5,7,1,4.33,4
GOOG,2019,17.0486,12.4472,1.5875,6,6,3,5.0,6
PYPL,2019,14.5254,4.7903,1.6556,7,8,2,5.67,7
MCD,2019,-73.3883,12.6822,1.348,10,5,5,6.67,8
AIG,2019,6.1561,0.7849,-0.5433,8,9,9,8.67,9
BCS,2019,5.1081,0.2942,-3.7553,9,10,10,9.67,10
AAPL,2020,87.8664,17.7256,1.4052,1,1,7,3.0,1
INTC,2020,25.7891,13.6514,1.7161,3,4,3,3.33,2
NVDA,2020,22.9105,16.1479,1.7028,4,2,4,3.33,2
MSFT,2020,37.4298,14.6961,1.3702,2,3,8,4.33,4
AMZN,2020,22.8374,6.6411,3.0971,5,7,2,4.67,5
GOOG,2020,18.0949,12.5992,1.6172,7,5,5,5.67,6
BCS,2020,3.6796,0.1824,37.6835,8,9,1,6.0,7
PYPL,2020,20.944,5.9705,1.48,6,8,6,6.67,8
MCD,2020,-60.4545,8.9888,1.3244,9,6,9,8.0,9
AAPL,2021,150.0713,26.9742,1.0988,1,1,9,3.67,1
MSFT,2021,43.1522,18.3568,1.2525,2,3,6,3.67,1
GOOG,2021,30.2156,21.1633,1.2054,3,2,8,4.33,3
NVDA,2021,25.6438,15.0464,1.344,4,4,5,4.33,3
INTC,2021,20.828,11.7977,1.4826,6,6,2,4.67,5
AMZN,2021,24.134,7.9334,1.3885,5,7,4,5.33,6
PYPL,2021,19.1881,5.4998,1.3905,7,8,3,6.0,7
BCS,2021,10.2918,0.522,7.6736,9,10,1,6.67,8
MCD,2021,-163.9903,14.0104,1.2116,10,5,7,7.33,9
AIG,2021,14.5016,1.6646,0.6709,8,9,10,9.0,10
AAPL,2022,196.9589,28.2924,1.2239,1,1,7,3.0,1
MSFT,2022,43.6755,19.937,1.2241,2,3,6,3.67,2
NVDA,2022,36.6451,22.0698,0.934,3,2,9,4.67,3
GOOG,2022,23.4134,16.4188,1.5256,5,4,5,4.67,3
PYPL,2022,11.9315,3.073,2.4031,6,7,2,5.0,5
BCS,2022,8.624,0.3946,6.0185,7,10,1,6.0,6
INTC,2022,7.7619,4.4025,1.9258,9,6,4,6.33,7
PCG,2022,7.8613,1.5289,2.0672,8,9,3,6.67,8
AIG,2022,27.0084,2.1411,0.4106,4,8,10,7.33,9
MCD,2022,-102.8983,12.2481,1.1958,10,5,8,7.67,10
