company,year,revenue,inflation_rate,nominal_growth_pct,real_growth_pct
PYPL,2021,25371.0,4.6979,18.2577,13.5598
PYPL,2022,27518.0,8.0028,8.4624,0.4596
SHLDQ,2009,46770.0,-0.3555,,
SHLDQ,2010,43360.0,1.64,-7.291,-8.931
SHLDQ,2011,42664.0,3.1568,-1.6052,-4.762
SHLDQ,2012,41567.0,2.0693,-2.5713,-4.6406
SHLDQ,2013,39854.0,1.4648,-4.1211,-5.5859
SHLDQ,2014,36188.0,1.6222,-9.1986,-10.8208
SHLDQ,2015,31198.0,0.1186,-13.7891,-13.9077
SHLDQ,2016,25146.0,1.2616,-19.3987,-20.6603
SHLDQ,2017,22138.0,2.1301,-11.9621,-14.0922
SHLDQ,2018,16702.0,2.4426,-24.5551,-26.9977
